name,nullpct,nullcount,uniqcount,most_frequent,most_frequent_pct
ac_assocation_with_criminals,0.5,9972,3,N,95.1
ac_changed_direction,0.4,8043,3,N,75.2
ac_evasive_to_questions,0.4,8553,3,N,80.0
ac_high_crime_area,0.3,5223,3,Y,58.7
ac_ongoing_investigation,0.4,9355,3,N,85.5
ac_other,0.5,10095,3,N,95.6
ac_proximity_to_scene,0.4,7566,3,N,77.5
ac_reported_by_person,0.4,8272,3,N,86.8
ac_sights_sounds,0.5,10540,3,N,96.9
ac_time_of_day,0.3,6807,3,N,57.7
additional_details,0.0,56,3,1.0,5.1
additional_reports,0.5,10860,2,N,99.5
arrest_made,0.0,0,2,N,93.2
arrest_offense,93.2,1939580,10967,CPM,0.6
complaint_precinct,0.0,0,1,0,100.0
complaint_year,0.0,0,1,0,100.0
crime_code_description,0.0,56,111,,
crime_suspected,0.0,10,23327,FEL,18.4
cs_bulge,0.5,10032,3,N,91.5
cs_casing,0.4,8026,3,N,67.0
cs_clothing,0.5,10431,3,N,94.8
cs_drug_transaction_suspected,0.5,10037,3,N,91.9
cs_fit_description,0.4,7509,3,N,82.6
cs_furtive_movements,0.3,6479,3,N,49.9
cs_lookout,0.4,9348,3,N,81.5
cs_other,0.4,8065,3,N,81.8
cs_suspicious_object,0.5,10445,3,N,97.0
cs_violent_crime_suspected,0.5,9709,3,N,89.1
datestop,0.0,0,2191,,
details_types_code,0.0,56,2,CM,100.0
forceuse_reason,94.6,1968596,7,DS,2.4
found_assault_weapon,0.5,10859,3,N,99.5
found_contraband,0.0,0,2,N,98.1
found_knife,0.5,10605,3,N,98.5
found_machine_gun,0.5,10860,3,N,99.5
found_other_weapon,0.5,10771,3,N,99.2
found_pistol,0.5,10806,3,N,99.3
found_rifle,0.5,10859,3,N,99.5
frisked,0.0,0,2,Y,56.4
loc_address_number,58.7,1221126,21243,60,0.2
loc_address_precinct,0.0,103,78,,
loc_address_type,0.0,60,3,R,67.8
loc_apt_number,100.0,2080121,1,,
loc_beat,63.5,1321095,65,*,4.3
loc_city,0.0,103,7,BROOKLYN,33.9
loc_cross_street,0.6,12023,10411,BROADWAY,1.0
loc_housing_or_transit_authority,0.0,0,3,P,78.5
loc_inside_outside,0.0,0,2,O,78.6
loc_intersection,0.6,12030,10371,BROADWAY,2.2
loc_post,89.7,1866372,100,,
loc_precinct,0.0,0,77,,
loc_premise_name,8.3,173026,44892,STREET,37.9
loc_premise_type,100.0,2080121,1,,
loc_resident_code,100.0,2080121,1,,
loc_sector,1.7,35771,20,A,10.4
loc_state,100.0,2080121,1,,
loc_street_name,57.3,1191408,10515,BROADWAY,0.6
loc_zip,100.0,2080121,1,,
officer_explained_stop,0.0,0,2,Y,99.9
officer_id_card,98.8,2054519,2,I,1.2
officer_shield,73.0,1517861,2,S,27.0
officer_uniformed,0.0,0,2,Y,72.6
officer_verbal_statement,78.7,1636901,2,V,21.3
other_persons_stopped,0.0,0,2,N,78.9
period_of_observation,0.0,0,211,1.0,0.7
period_of_stop,0.0,26,300,5,0.0
pf_baton,0.5,10856,3,N,99.5
pf_ground,0.5,10742,3,N,99.1
pf_handcuffed,0.5,9714,3,N,95.6
pf_hands,0.4,9133,3,N,82.4
pf_other,0.5,10813,3,N,98.9
pf_pepsp,0.5,10857,3,N,99.5
pf_wall,0.5,10412,3,N,96.5
pf_weapon_drawn,0.5,10770,3,N,99.2
pf_weapon_pointed,0.5,10780,3,N,99.2
radio,0.0,0,2,N,73.6
record_status,0.1,2850,6,A,53.9
reporting_officer_command,0.0,10,412,,
reviewing_officer_command,0.0,2,420,,
rf_bulge,0.5,10055,3,N,91.8
rf_furtive_movements,0.3,6880,3,N,61.0
rf_other_suspicion_of_weapons,0.5,9776,3,N,95.6
rf_out_of_season_attire,0.5,10178,3,N,91.8
rf_prior_knowledge,0.5,10244,3,N,97.7
rf_refused_to_comply,0.5,9475,3,N,90.9
rf_verbal_threats,0.5,10741,3,N,98.9
rf_violent_crime_actions,0.5,9894,3,N,91.8
rf_violent_crime_suspected,0.4,8325,3,N,86.3
sb_admission_by_suspect,0.5,10771,3,N,99.1
sb_hard_object,0.5,10083,3,N,94.9
sb_other,0.5,9981,3,N,95.5
sb_outline_of_weapon,0.5,10761,3,N,98.9
searched,0.0,0,2,N,91.0
summons_issued,0.0,0,2,N,94.3
summons_offense,94.8,1970963,13732,DISCON,0.0
suspect_age,0.0,39,545,20,0.0
suspect_build,0.0,0,5,M,58.4
suspect_dob,10.3,214414,24423,,
suspect_eye_color,0.0,0,13,BR,89.7
suspect_hair_color,0.0,0,11,BK,75.5
suspect_height_feet,0.0,0,5,,
suspect_height_inches,0.0,0,12,8,9.4
suspect_other_features,99.9,2078598,456,SLIM,0.0
suspect_race,0.0,0,8,B,52.4
suspect_sex,0.0,0,3,M,91.5
suspect_type_of_id,0.0,0,4,P,54.5
suspect_weight,0.0,0,463,160,0.0
timestop,0.0,0,1440,2200,0.1
ucb_serialnum,0.0,0,31344,,
xcoord,3.5,72657,76481,,
ycoord,3.5,72657,92350,,
year,0.0,0,6,,
datetime_stop,0.0,0,639441,2010-05-01 20:00,0.0
force_type_used,79.1,1646263,10,hands,13.6
longitude,3.5,72657,38002,,
latitude,3.5,72657,35032,,
weapon_type_found,98.6,2051873,7,knife,0.9
